"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","species"
"743836",5.4459087730871,32.6557444098688,5.01520176356604,6.5113520750258,7.44773494115275e-11,9.36614051280792e-09,"Methylocystis sp. SB2"
"2893471",25.788322447672,-31.7464421913114,4.89155378222875,-6.4900527735477,8.5806312130349e-11,1.06735590871708e-08,"Bartonella machadoae"
"2004515",102.386667037157,28.1836156436355,4.34409755057866,6.48779529361196,8.71015116784984e-11,1.07181688134273e-08,"Qipengyuania sp."
"33990",34.7036250028976,-31.7842057627185,4.91133451357766,-6.47160271304047,9.69688069073652e-11,1.15615184260213e-08,"Rickettsia bellii"
"89053",51.2082877536871,32.4271335963171,5.01070103674221,6.47157620431494,9.69858239162917e-11,1.15615184260213e-08,"Gordonia amicalis"
"3423954",51.2082877536871,32.4271335963171,5.01070103674221,6.47157620431494,9.69858239162917e-11,1.15615184260213e-08,"Streptomyces sp. L7"
"449520",73.2502899248687,-22.2446469660233,3.44760480570225,-6.45220325984904,1.10235588097124e-10,1.28728170426886e-08,"Campylobacter canadensis"
"96232",67.4800924078993,-22.2179374505788,3.44307882369753,-6.45292733284535,1.09709973556752e-10,1.28728170426886e-08,"Legionella lytica"
"3133297",22.6435154249411,32.2480773775609,5.01137761130696,6.43497255221816,1.23495644706739e-10,1.42755975557972e-08,"Sorangium sp. So ce302"
"2817411",27.2891403902093,-31.3722242672984,4.87952515486714,-6.42936008558248,1.28142245796789e-10,1.46645986089845e-08,"Pseudomonas sp. Z3-6"
"1332080",121.447093377768,28.2922531252659,4.40466651710768,6.42324521399727,1.33399338530442e-10,1.511506960537e-08,"Sphingobium baderi"
"2975872",102.706645369256,-31.813229724028,4.9602713509823,-6.41360673095594,1.42116536263491e-10,1.59449180490136e-08,"Streptomyces sp. NBC_01546"
"2975896",26.1731248518845,32.0966761203405,5.0112148573363,6.40496906121511,1.50399876093534e-10,1.65497709809077e-08,"Streptomyces sp. NBC_01613"
"308754",26.1731248518845,32.0966761203405,5.0112148573363,6.40496906121511,1.50399876093534e-10,1.65497709809077e-08,"Rhodovulum sp. MB263"
"2903597",60.3275551192756,26.391869449681,4.12452523928545,6.39876541384754,1.56638277347761e-10,1.70720804377884e-08,"Nocardia sp. NBC_01499"
"2821559",174.775209335911,-32.1948888976815,5.03642108202383,-6.392414052231,1.63287013306528e-10,1.7628835663018e-08,"Pseudomonas sp. IsoF"
"2989732",45.5184780032774,32.0105034161083,5.01076878012572,6.388341753679,1.67694236079361e-10,1.79354470812356e-08,"Sulfitobacter sp. TBRI5"
"2763670",61.8499895201126,-22.0128749238495,3.45961987042365,-6.36280162223543,1.98106490529614e-10,2.09919507187121e-08,"Wujia chipingensis"
"2732864",59.0056144234235,27.3609124854855,4.30356437452987,6.35773282431134,2.04753192832878e-10,2.14972067777932e-08,"Modestobacter italicus"
"2728835",80.5017138357212,27.7190330806815,4.37019018138616,6.34275212981451,2.25696408551415e-10,2.34806336314763e-08,"Luteolibacter luteus"
"391613",45.1391573532501,31.7691160584479,5.01077373613625,6.34016176570461,2.29524038451181e-10,2.36637215859037e-08,"Roseovarius sp. TM1035"
"1801",45.3256391718677,25.9596560415414,4.1088970368505,6.31791349569558,2.65118335984965e-10,2.70894128304638e-08,"Mycolicibacterium diernhoferi"
"410072",85.2738529993374,-22.305022359721,3.54771143457471,-6.28715800906024,3.23330249029296e-10,3.27450563707191e-08,"Coprococcus comes"
"1294262",65.0728520357214,-21.9726558369043,3.49934561123512,-6.27907565527627,3.4059183880001e-10,3.4190640379187e-08,"Sulfuracidifex tepidarius"
"2202647",48.4068050260665,-30.8260687621253,4.91375566825738,-6.27342319058722,3.53195204047841e-10,3.49097423559162e-08,"Bacilladnaviridae sp."
"38322",8.81377340907518,31.4489571875899,5.01327823522806,6.27313221249115,3.53856179070804e-10,3.49097423559162e-08,"Pseudothermotoga elfii"
"1353277",25.0482593891615,31.3768673299184,5.01126163650291,6.2612710342968,3.81852174871258e-10,3.73497118737323e-08,"Rhizobium freirei"
"2975292",50.9347188584612,-30.6575894505458,4.91407871765479,-6.23872575349727,4.41149621935684e-10,4.1723274987041e-08,"Paenibacillus sp. FSL K6-1330"
"1503054",65.3676969486136,25.9229152187232,4.15462617980698,6.23953012781706,4.38887221859133e-10,4.1723274987041e-08,"Burkholderia stagnalis"
"2512235",79.6573365057354,31.2713391636979,5.01050981538688,6.24114916762882,4.34367762239214e-10,4.1723274987041e-08,"Pseudomonas sp. REST10"
"2588299",79.6573365057354,31.2713391636979,5.01050981538688,6.24114916762882,4.34367762239214e-10,4.1723274987041e-08,"Roseivivax sp. THAF197b"
"1071078",26.7328695915057,-30.4630476202227,4.88577420314505,-6.2350502404743,4.51633121956921e-10,4.23646676038935e-08,"Bacillus sp. NSP9.1"
"2589790",74.8212163647346,-30.7895356457714,4.95191659467774,-6.21770077445642,5.04492432070393e-10,4.69383040049884e-08,"Shewanella sp. LC6"
"1338",104.552352923243,-22.88797472976,3.68450255394834,-6.21195789516637,5.23284503701401e-10,4.82940956480551e-08,"Streptococcus intermedius"
"158823",31.4264267884403,25.1746051878716,4.05376198082933,6.21018335731722,5.29228134992199e-10,4.84518942148058e-08,"Cedecea lapagei"
"487559",166.709517918338,-31.6760615479728,5.10991257426105,-6.19894393252971,5.6843275100986e-10,5.16281301790225e-08,"Xanthomonas sp. NCPPB 3761"
"2201350",59.875546290395,27.113774116241,4.3810040051964,6.1889407277603,6.05698512763218e-10,5.41532326567365e-08,"Phenylobacterium parvum"
"47850",48.1737225534686,31.0143858577504,5.01073523861852,6.18958783108667,6.03217344114656e-10,5.41532326567365e-08,"Micromonospora aurantiaca (nom. illeg.)"
"2787629",58.8163809374282,-30.3915295749393,4.92420218210471,-6.17186875173133,6.74875141693912e-10,5.44724804474237e-08,"Pantoea sp. SM3640"
"712368",57.3890191435328,-30.4031233615476,4.92064423558891,-6.17868756730162,6.46366648845662e-10,5.44724804474237e-08,"Leptotrichia sp. oral taxon 498"
"3241602",12.5175814509013,30.901603682317,5.01235915366907,6.1650816980457,7.04467590546899e-10,5.44724804474237e-08,"Cupriavidus sp. H18C2"
"1531429",25.2248232268162,30.9663482330777,5.01125439823845,6.17936064949386,6.4361715210538e-10,5.44724804474237e-08,"Berryella intestinalis"
"2202000",12.5175814509013,30.901603682317,5.01235915366907,6.1650816980457,7.04467590546899e-10,5.44724804474237e-08,"Streptomyces sp. NEAU-S7GS2"
"2867236",12.5175814509013,30.901603682317,5.01235915366907,6.1650816980457,7.04467590546899e-10,5.44724804474237e-08,"Qipengyuania xiapuensis"
"1479019",25.2248232268162,30.9663482330777,5.01125439823845,6.17936064949386,6.4361715210538e-10,5.44724804474237e-08,"Methylobacterium sp. C1"
"3228751",25.2248232268162,30.9663482330777,5.01125439823845,6.17936064949386,6.4361715210538e-10,5.44724804474237e-08,"Sphingomonas sp. VDB2"
"3445768",25.2248232268162,30.9663482330777,5.01125439823845,6.17936064949386,6.4361715210538e-10,5.44724804474237e-08,"Parapusillimonas sp. JC17"
"3133323",25.2248232268162,30.9663482330777,5.01125439823845,6.17936064949386,6.4361715210538e-10,5.44724804474237e-08,"Sorangium sp. So ce861"
"3026420",12.5175814509013,30.901603682317,5.01235915366907,6.1650816980457,7.04467590546899e-10,5.44724804474237e-08,"Streptomyces sp. MMBL 11-1"
"761804",12.5175814509013,30.901603682317,5.01235915366907,6.1650816980457,7.04467590546899e-10,5.44724804474237e-08,"Mycobacterium europaeum"
