"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","species"
"3015999",77.4752819617566,-25.1554953959352,2.84647463818988,-8.83742122920582,9.79532575715633e-19,8.4922506034013e-17,"Brevundimonas sp. NIBR11"
"3075198",45.8671782501479,23.379878288169,2.64637699222443,8.83467410609435,1.00390493289352e-18,8.63811131731838e-17,"Streptomyces sp. ITFR-16"
"2831893",62.5098969271547,-24.6484642007627,2.79040068243397,-8.83330639786926,1.01626154052084e-18,8.67917691770187e-17,"Serratia sp. JSRIV001"
"2755385",31.7587312329427,23.251276566376,2.63350396155316,8.829026614664,1.05590597225264e-18,8.95095403441422e-17,"Klebsiella sp. I138"
"1886670",63.6245586373269,23.3155014546488,2.64162903928952,8.82618305139455,1.08308703837564e-18,9.11385887291969e-17,"Paenibacillus nuruki"
"1549850",99.2534156796273,23.5503970816275,2.66882555856524,8.82425492593386,1.10190958423117e-18,9.20456443937339e-17,"Thioclava electrotropha"
"1681",46.9691392227075,23.4345009867563,2.65600428891197,8.82321654546582,1.11217981880737e-18,9.22303322205186e-17,"Bifidobacterium bifidum"
"1908",132.881503153037,23.4841459744591,2.66309050227271,8.81838073261779,1.1612680873141e-18,9.56082877066374e-17,"Streptomyces globisporus"
"2685869",56.951457724571,23.3870525667935,2.65244209117112,8.81717743985413,1.1738114632657e-18,9.5950702754376e-17,"Nocardioides ochotonae"
"3017782",152.368502725577,23.3124142501908,2.64482931591144,8.81433599890246,1.20396475701754e-18,9.77175367326857e-17,"Paracoccus sp. SCSIO 75233"
"2752316",37.2038411610941,23.3596000968174,2.65128712594939,8.81066402359294,1.2440671061238e-18,1.00261295510428e-16,"Rhodoferax sp. AJA081-3"
"3138066",97.6434287302844,23.2571262967018,2.64085913169346,8.80665159969669,1.28939674055377e-18,1.02471224297898e-16,"Paracoccus sp. ME4"
"208602",44.8984334520594,23.1253505667103,2.62569757838615,8.80731686583798,1.28176979084669e-18,1.02471224297898e-16,"Nocardia puris"
"1586287",52.9219427456382,23.2950659857073,2.64549993522905,8.80554396373113,1.302194794797e-18,1.02774601597633e-16,"Lentzea guizhouensis"
"3051614",78.9659876315803,-25.7272192208708,2.92813735958349,-8.78620640410474,1.54695257311377e-18,1.19617062477797e-16,"Cytobacillus pseudoceanisediminis"
"3239953",45.1399240629599,23.1435765742645,2.63365428760651,8.78762891666303,1.52749550356552e-18,1.19617062477797e-16,"Microbispora sp. CA-135349"
"2600596",38.2790579040527,23.0733426101808,2.62587682609819,8.78690972130083,1.53730223153162e-18,1.19617062477797e-16,"Sideroxydans sp. CL21"
"2750025",147.753937483648,25.857624436902,2.94398806583063,8.78319607916158,1.58893827618356e-18,1.22038990823119e-16,"Streptomyces sp. CB00271"
"2571749",76.1055630663022,23.2545605034632,2.64788228758145,8.78232412842782,1.60130838345346e-18,1.22169154268276e-16,"Novosphingobium sp. EMRT-2"
"3020899",27.3974389644873,22.9830717158008,2.61803711774979,8.77874173745667,1.65313646752762e-18,1.25288037976067e-16,"Candidatus Nitrospira neomarina"
"280236",66.2894687146351,23.3438792767946,2.66055602953584,8.77406039100301,1.72336731891659e-18,1.29751418405799e-16,"Nocardiopsis gilva"
"2502791",27.9005437158544,23.0823373917414,2.63127267634508,8.77230915642064,1.75039024194462e-18,1.30924613913819e-16,"Salicibibacter halophilus"
"2975710",38.1505165007056,23.2831442321804,2.65699190910033,8.76297144618109,1.90169843766744e-18,1.41318421562767e-16,"Streptomyces sp. NBC_00316"
"3239927",54.0846617867952,23.0103321479079,2.62648664622303,8.76087916951625,1.93733383240847e-18,1.430377314715e-16,"Dactylosporangium sp. CA-052675"
"2898442",70.3595188272092,-24.5621561430533,2.80541887683589,-8.75525446337481,2.03643504109936e-18,1.47499763356589e-16,"Bradyrhizobium sp. 62B"
"748247",84.3550235785918,22.9411913464118,2.61985632192239,8.75666010935213,2.01120968916915e-18,1.47499763356589e-16,"Azoarcus sp. KH32C"
"37637",29.7884733149291,23.0536580708936,2.63294797231585,8.75583502343815,2.02597881612903e-18,1.47499763356589e-16,"Corynebacterium pseudodiphtheriticum"
"2867231",31.9549302483188,23.0403227642313,2.63323672740002,8.74981065108439,2.13711031221997e-18,1.53818178698399e-16,"Qipengyuania gelatinilytica"
"2952228",29.2496784629825,23.0078799978714,2.63069747970464,8.74592391385672,2.21198133303996e-18,1.58211964845683e-16,"Desulfomicrobium sp. ZS1"
"2003315",41.2547563698655,22.9532713399387,2.62513156790098,8.74366512543666,2.25667667736293e-18,1.60406260221996e-16,"Porphyrobacter sp. CACIAM 03H1"
"114686",41.3960206738315,23.2056707863343,2.66059103886684,8.72199840085823,2.73334187801701e-18,1.93088669456955e-16,"Streptomyces phaeoluteigriseus"
"3074437",48.2608059258458,22.9548383412908,2.63302776601288,8.71803884394681,2.83061853770002e-18,1.98733733407602e-16,"Paraburkholderia sp. FT54"
"3421650",39.9604568035844,22.9732499990283,2.6357987297196,8.71585896904664,2.88562350735366e-18,2.01360215964362e-16,"Streptomyces sp. cg35"
"3231716",65.4346250094505,23.0525699997189,2.64614882832439,8.71174355461949,2.99236036418391e-18,2.03836738141194e-16,"Streptomyces solicamelliae"
"3028084",42.3555853100695,22.9387113182207,2.63281964737156,8.71260260501371,2.96976295988907e-18,2.03836738141194e-16,"Streptococcus iners"
"3095609",27.4050758069708,22.9010743023518,2.62858733436944,8.71231250448272,2.97737517725539e-18,2.03836738141194e-16,"Herbaspirillum sp. DW155"
"211146",42.3431641332241,23.1195330789154,2.65351724807412,8.71278794049491,2.964909832662e-18,2.03836738141194e-16,"Paenarthrobacter nitroguajacolicus"
"1332080",121.447093377768,-24.0954585273375,2.7675228060653,-8.7065076661807,3.13380776323547e-18,2.12208852322288e-16,"Sphingobium baderi"
"33050",66.1796689816907,23.0055150301251,2.64406356899755,8.70081767317235,3.2950129890143e-18,2.21812521448704e-16,"Sphingopyxis macrogoltabida"
"1914471",47.8054452147999,22.936039033413,2.63649529162921,8.69944244021002,3.33518770529206e-18,2.23204023972879e-16,"Sulfuritortus calidifontis"
"60480",30.2866147447619,22.8252094859401,2.62549284869598,8.69368564354567,3.50867623589411e-18,2.33449365369606e-16,"Shewanella sp. MR-4"
"941907",55.5732671836215,22.9084487995975,2.63654937699101,8.68879945868568,3.66289586269886e-18,2.41299317053966e-16,"Allosphingosinicella indica"
"1214604",40.9314226974776,22.6849701386872,2.61088432303321,8.68861555395637,3.66882918274992e-18,2.41299317053966e-16,"Tumebacillus algifaecis"
"53408",77.0933777087615,22.7161410887551,2.61692565140329,8.68046865472617,3.94141343129197e-18,2.57745916044031e-16,"Pseudomonas citronellolis"
"2054227",53.028675600618,-24.0390190894364,2.76972423864647,-8.67921028166474,3.98526271110603e-18,2.58525169180713e-16,"Sphingopyxis lindanitolerans"
"2840457",66.6809728936832,22.6891320553157,2.61430685593888,8.67883278650825,3.99851056841892e-18,2.58525169180713e-16,"Nocardioides sp. LMS-CY"
"184914",82.8989458009188,22.8257453384868,2.63197577610229,8.67247546339109,4.22825913666509e-18,2.71122369364777e-16,"Corallococcus coralloides"
"38288",43.8472135589637,22.7552472737884,2.62394825817328,8.67214023863033,4.24072912585591e-18,2.71122369364777e-16,"Corynebacterium genitalium"
"2184161",157.276884092219,22.6028931880477,2.60680076179463,8.67074059487653,4.29318774590872e-18,2.72951336467663e-16,"Oceaniradius stylonematis"
"488732",42.3466050018125,-24.1163277578055,2.78200152440726,-8.66869681638431,4.37094114810625e-18,2.76359395021701e-16,"Burkholderia diffusa"
"3035471",49.116369746321,22.6273241816032,2.61257144045174,8.66093988139542,4.67890265797811e-18,2.94205285812646e-16,"Roseinatronobacter sp. S2"
"3039154",64.5677475803951,-24.057254521202,2.77874388635247,-8.65760052207647,4.81798601593149e-18,3.01295256646557e-16,"Bradyrhizobium sp. CB1717"
"1451454",26.1060288197777,22.5600766773892,2.60907807057429,8.64676183201506,5.2981388299083e-18,3.29521199834079e-16,"Pseudomonas caspiana"
"1275",62.5960200096299,-24.2863007706491,2.80969306583789,-8.64375581302385,5.43947406746371e-18,3.34720053033979e-16,"Kocuria rosea"
"1285901",46.0087677508527,22.8349149681123,2.64178640446029,8.64374005769683,5.44022455997204e-18,3.34720053033979e-16,"Tessaracoccus defluvii"
"415217",25.8243737511681,22.577392402369,2.61227804330738,8.64279836528577,5.48526744912759e-18,3.35686634694204e-16,"Microbacterium lacus"
"2736757",50.2469527067741,22.793233854875,2.63912724880978,8.63665587370009,5.78824060308256e-18,3.52343752455728e-16,"Nocardioides campestrisoli"
"3015154",47.0225061875721,22.6484139006677,2.62287150636461,8.63496890553332,5.87430141530005e-18,3.53818449456283e-16,"Streptomyces sp. WMMC500"
"1921086",20.306366271127,22.6355625269443,2.62133494643564,8.63512789837217,5.86613676553993e-18,3.53818449456283e-16,"Mariprofundus aestuarium"
"652",36.4607192665579,-23.8867308723339,2.76662544120032,-8.63388679819644,5.93016887660803e-18,3.55313364523049e-16,"Aeromonas schubertii"
"203",18.3801742581956,22.6164187901463,2.62042383026044,8.63082472727264,6.09111625915959e-18,3.63055908696992e-16,"Campylobacter rectus"
"2878391",42.9378667468108,22.4912772538216,2.60732435756524,8.62619074936433,6.34291970429509e-18,3.76105560082658e-16,"Halomicrobium salinisoli"
"2728835",80.5017138357212,-23.6399605213163,2.74662852424469,-8.60690126554962,7.50620462773318e-18,4.42788689483394e-16,"Luteolibacter luteus"
"293089",85.3493306355137,22.492339239039,2.61350618395404,8.60619323464152,7.55269041114579e-18,4.43246097770012e-16,"Martelella mediterranea"
"2201350",59.875546290395,-23.6910761970216,2.75302903518562,-8.60545816779746,7.60125186698878e-18,4.43820032478671e-16,"Phenylobacterium parvum"
"1593482",50.313936987977,22.3658362867371,2.59956585673499,8.60368135271181,7.71991184000595e-18,4.48460259375777e-16,"Massilia sp. YMA4"
"2582831",28.2037205727841,22.475328551393,2.61345350945996,8.59985780119626,7.98149299044516e-18,4.61314170619467e-16,"Streptomyces sp. SUK 48"
"3402279",42.9706946761137,-24.7886953726034,2.89482775495696,-8.56309855747253,1.09873933268623e-17,6.3185793584227e-16,"Serratia sp. NFX21"
"2004515",102.386667037157,-23.3782477042196,2.73096353105144,-8.56043936083571,1.12438197645002e-17,6.43371366924702e-16,"Qipengyuania sp."
"152142",33.8439782216423,22.1571945693272,2.5959439967899,8.53531301011362,1.39776495811269e-17,7.95821999036895e-16,"Mycolicibacterium holsaticum"
"2743001",38.4953114100905,22.0931873130583,2.59039196264116,8.52889741463378,1.47749133622139e-17,8.37050042164239e-16,"Salicibibacter cibi"
"2969621",44.8213393462861,22.0194163616661,2.58203487800558,8.5279314192202,1.48987818826855e-17,8.39909654509619e-16,"Bosea sp. NBC_00550"
"864069",51.4300014396489,21.9921473395236,2.57980879599228,8.52471988377136,1.53180060285882e-17,8.59310102897861e-16,"Microvirga lotononidis"
"2698679",38.80762921441,22.2585946705934,2.61219700292755,8.52102450375975,1.58148068884825e-17,8.82851951374605e-16,"Sphingomonas changnyeongensis"
"3394356",78.3018615945369,22.1092399330204,2.59543273504281,8.51851779262379,1.61608213064024e-17,8.97788538982859e-16,"Bdellovibrio sp. HCB290"
