,122021_Coralina_2021_Baya_027_PSTR4_S34,122021_Coralina_2021_Baya_033_PSTR7_S35,122021_Coralina_2021_Baya_035_PSTR_S32,122021_Coralina_2021_Baya_037_PSTR_S33
112234,162.9920474,263.6128922,195.5352778,131.6876369
2806551,408.6964772,0,0,0
5664,428.1582142,418.6792994,611.0477432,538.7221511
1872629,265.1661667,426.4326198,529.5747108,466.8925309
2371,82.71238229,193.833009,146.6514584,143.6592403
29384,116.7704221,240.3529311,203.6825811,155.6308436
285,333.2822463,379.9126976,480.6908913,634.4949779
1451,284.6279038,620.2656288,806.583021,897.8702518
1080223,80.27966516,255.8595719,285.1556135,239.4320671
666,868.480014,317.8861347,285.1556135,634.4949779
1908341,333.2822463,480.7058623,309.5975232,430.9777208
2494373,233.5408441,217.0929701,456.2489816,490.8357376
826,121.6358563,310.1328144,154.7987616,359.1481007
33033,218.9445413,317.8861347,301.45022,251.4036705
3070681,401.3983258,224.8462904,439.9543751,395.0629108
255507,350.3112662,550.4857455,456.2489816,466.8925309
2768948,294.3587723,279.1195329,317.7448265,347.1764973
2808900,233.5408441,434.1859401,505.132801,718.2962014
5874,333.2822463,395.4193383,350.3340394,179.5740504
1894999,150.8284618,379.9126976,0,0
85698,43.78890827,0,0,0
746128,493.8415766,426.4326198,203.6825811,263.3752739
50741,104.6068364,186.0796886,0,0
1185412,260.3007325,511.7191437,423.6597686,718.2962014
162425,311.3877921,581.499027,472.5435881,538.7221511
280333,0,0,488.8381946,335.204894
2686210,0,147.3130868,130.3568519,179.5740504
89586,58.38521103,0,0,0
1493872,216.5118242,496.212503,399.2178589,275.3468772
104270,199.4828043,441.9392605,668.0788659,323.2332906
44935,97.30868504,0,97.76763891,0
1241981,277.3297524,186.0796886,179.2406713,227.4604638
2283160,143.5303104,1666.963877,2900.439954,1927.42814
1855912,265.1661667,0,0,0
2761500,471.9471225,248.1062515,228.1244908,251.4036705
2704465,299.2242065,279.1195329,366.6286459,323.2332906
704125,238.4062784,914.8918024,716.9626854,574.6369611
2739062,245.7044297,426.4326198,382.9232524,299.2900839
3093875,97.30868504,248.1062515,211.8298843,239.4320671
314281,214.0791071,193.833009,211.8298843,155.6308436
1774273,260.3007325,155.0664072,252.5664005,454.9209276
1050635,177.5883502,139.5597665,0,490.8357376
