,122021_Coralina_2021_Baya_027_PSTR4_S34,122021_Coralina_2021_Baya_033_PSTR7_S35,122021_Coralina_2021_Baya_035_PSTR_S32,122021_Coralina_2021_Baya_037_PSTR_S33
228899,352.7439833,542.7324252,651.7842594,538.7221511
2954086,0,0,0,0
823,250.569864,379.9126976,496.9854978,586.6085645
2591606,153.2611789,1069.95821,0,0
1714860,270.031601,472.9525419,391.0705556,287.3184806
1463165,255.4352982,325.6394551,627.3423497,682.3813913
747,362.4748518,310.1328144,415.5124654,502.807341
171437,102.1741193,302.379494,277.0083102,383.0913074
114525,1289.340077,434.1859401,260.7137038,263.3752739
373994,250.569864,542.7324252,513.2801043,502.807341
45972,265.1661667,209.3396497,309.5975232,203.5172571
1286,1953.471852,348.8994162,211.8298843,442.9493242
1547,374.6384374,441.9392605,472.5435881,646.4665813
27288,469.5144053,992.425006,993.9709956,1316.876369
37326,141.0975933,651.2789102,496.9854978,682.3813913
1872427,119.2031392,0,0,0
5518,564.3903733,472.9525419,602.90044,550.6937544
59893,184.8865016,852.8652395,545.8693173,0
122368,316.2532264,372.1593773,146.6514584,167.602447
2795000,304.0896408,255.8595719,285.1556135,323.2332906
1261031,1367.187025,333.3927755,293.3029167,179.5740504
2932258,111.9049878,240.3529311,89.62033567,454.9209276
2320868,274.8970352,860.6185599,554.0166205,395.0629108
2208,384.3693059,496.212503,505.132801,419.0061175
588,318.6859435,472.9525419,325.8921297,0
398743,121.6358563,783.0853563,431.8070719,287.3184806
4911,357.6094175,503.9658234,374.7759492,383.0913074
254839,0,0,0,0
1404411,63.25064528,0,480.6908913,335.204894
1304,231.108127,294.6261737,219.9771876,454.9209276
1311,270.031601,1038.944928,1539.840313,1580.251643
1574161,720.0842693,620.2656288,0,574.6369611
1465,270.031601,612.5123084,651.7842594,610.5517712
2725666,58.38521103,108.546485,488.8381946,191.5456537
239,596.0156959,651.2789102,448.1016783,718.2962014
2975289,46.2216254,0,0,0
2587410,452.4853855,449.6925808,399.2178589,311.2616873
254,294.3587723,573.7457066,374.7759492,430.9777208
77097,75.41423091,403.1726587,277.0083102,143.6592403
40215,167.8574817,286.8728533,358.4813427,454.9209276
106654,313.8205093,372.1593773,382.9232524,287.3184806
571177,58.38521103,77.53320359,0,0
1134687,189.7519358,488.4591826,342.1867362,407.0345141
564305,715.2188351,534.9791048,521.4274075,742.2394081
432096,372.2057203,759.8253952,488.8381946,706.3245981
1942464,111.9049878,0,162.9460649,179.5740504
343874,420.8600628,713.3054731,464.3962848,610.5517712
348837,457.3508197,534.9791048,529.5747108,526.7505477
5499,875.7781654,465.1992216,342.1867362,514.7789443
2934315,413.5619114,426.4326198,415.5124654,227.4604638
59779,0,0,0,0
2994555,1549.640809,503.9658234,505.132801,490.8357376
379064,381.9365888,465.1992216,578.4585302,407.0345141
100886,92.44325079,1170.751374,708.8153821,682.3813913
199,467.0816882,395.4193383,301.45022,311.2616873
1530123,459.7835368,674.5388713,627.3423497,646.4665813
2759660,0,0,0,0
28182,218.9445413,364.4060569,374.7759492,299.2900839
1399,491.4088595,441.9392605,480.6908913,742.2394081
244366,184.8865016,620.2656288,448.1016783,670.409788
1218801,291.9260551,147.3130868,195.5352778,263.3752739
371601,576.5539589,581.499027,366.6286459,514.7789443
33045,141.0975933,93.03984431,0,0
5478,357.6094175,418.6792994,277.0083102,466.8925309
1260,304.0896408,441.9392605,219.9771876,311.2616873
2774873,0,0,0,0
1382466,277.3297524,0,81.47303243,0
1408,352.7439833,224.8462904,480.6908913,407.0345141
2545709,201.9155215,279.1195329,293.3029167,155.6308436
1490,270.031601,341.1460958,391.0705556,550.6937544
4956,333.2822463,472.9525419,293.3029167,239.4320671
191579,121.6358563,162.8197275,122.2095486,0
332186,389.2347402,0,0,335.204894
3034676,60.81792815,124.0531258,382.9232524,0
1196083,255.4352982,488.4591826,179.2406713,490.8357376
1047171,270.031601,426.4326198,521.4274075,490.8357376
294,415.9946286,100.7931647,187.3879746,323.2332906
2738,313.8205093,310.1328144,277.0083102,287.3184806
173,715.2188351,379.9126976,692.5207756,0
655353,160.5593303,2209.696302,1947.205475,1999.257761
283734,167.8574817,286.8728533,114.0622454,311.2616873
38313,245.7044297,224.8462904,277.0083102,239.4320671
72144,428.1582142,217.0929701,301.45022,203.5172571
360422,189.7519358,310.1328144,285.1556135,383.0913074
43657,121.6358563,573.7457066,529.5747108,622.5233746
1615909,231.108127,286.8728533,301.45022,466.8925309
28898,72.98151378,1465.377548,1189.506273,1759.825693
2795738,92.44325079,263.6128922,154.7987616,179.5740504
564,65.6833624,0,537.722014,0
2686362,182.4537845,713.3054731,236.271794,1831.655314
2749052,0,0,0,0
163877,491.4088595,410.9259791,358.4813427,442.9493242
2864201,170.2901988,333.3927755,342.1867362,682.3813913
1550579,111.9049878,310.1328144,374.7759492,179.5740504
62322,347.878549,403.1726587,236.271794,0
1979344,279.7624695,395.4193383,415.5124654,514.7789443
2686077,350.3112662,379.9126976,391.0705556,454.9209276
98403,216.5118242,193.833009,252.5664005,179.5740504
2749995,180.0210673,217.0929701,236.271794,167.602447
2921687,0,0,0,0
159,128.9340077,1085.46485,936.9398729,1268.989956
2027860,856.3164284,511.7191437,407.3651621,0
339,430.5909313,938.1517635,896.2033567,1173.217129
102116,294.3587723,534.9791048,317.7448265,407.0345141
1355330,284.6279038,426.4326198,415.5124654,706.3245981
33959,323.5513778,550.4857455,472.5435881,586.6085645
231049,131.3667248,108.546485,171.0933681,227.4604638
2068654,145.9630276,279.1195329,268.861007,191.5456537
784,141.0975933,217.0929701,334.0394329,287.3184806
1603555,38.92347402,0,0,0
3140247,0,0,0,0
5270,396.5328916,310.1328144,309.5975232,407.0345141
2029677,136.2321591,302.379494,0,490.8357376
996801,231.108127,271.3662126,154.7987616,203.5172571
2794344,0,0,0,0
648,2454.61158,0,374.7759492,0
13502,211.64639,395.4193383,219.9771876,335.204894
4932,423.2927799,147.3130868,236.271794,287.3184806
2878255,119.2031392,0,187.3879746,227.4604638
1305,323.5513778,379.9126976,439.9543751,287.3184806
569,308.955075,372.1593773,488.8381946,407.0345141
1742359,900.1053367,976.9183653,904.3506599,885.8986484
2954661,0,178.3263683,138.5041551,0
328812,235.9735612,410.9259791,496.9854978,323.2332906
55601,189.7519358,0,0,0
2282170,243.2717126,193.833009,391.0705556,287.3184806
2779359,204.3482386,240.3529311,162.9460649,287.3184806
33035,301.6569236,410.9259791,472.5435881,1041.529492
1306274,235.9735612,310.1328144,407.3651621,371.1197041
713887,92.44325079,193.833009,162.9460649,251.4036705
71237,858.7491455,0,146.6514584,215.4888604
6039,481.677991,581.499027,562.1639237,538.7221511
1355374,352.7439833,348.8994162,366.6286459,251.4036705
2516557,199.4828043,100.7931647,0,0
2231603,367.340286,410.9259791,277.0083102,251.4036705
