"","072023_Carolina_2023_Baya_053_MCAV_S3","072023_Carolina_2023_Baya_055_MCAV_S4","122021_Coralina_2021_Baya_003_MCAV_S27","122021_Coralina_2021_Baya_005_MCAV_S28","122021_Coralina_2021_Baya_007_MCAV_S29","122021_Coralina_2021_Baya_017_MCAV_S30","122021_Coralina_2021_Baya_023_MCAV_S31","072023_Carolina_2023_Baya_052_DCYL_S9","072023_Carolina_2023_Baya_065_DCYL_S1","072023_Carolina_2023_Baya_066_DCYL_S2","122021_Coralina_2021_Baya_001_DCYL_S24","122021_Coralina_2021_Baya_009_DCYL_S25","122021_Coralina_2021_Baya_010_DCYL_S26","122021_Coralina_2021_Baya_025_MMEA_S22","122021_Coralina_2021_Baya_029_MMEA_S23","122021_Coralina_2021_Baya_031_MMEA_S45","072023_Carolina_2023_Baya_057_SSID_S7","072023_Carolina_2023_Baya_059_SSID_S8","072023_Carolina_2023_Baya_061_SSID_S5","072023_Carolina_2023_Baya_063_SSID_S6","122021_Coralina_2021_Baya_019_SSID1_S46","122021_Coralina_2021_Baya_021_SSID2_S36","122021_Coralina_2021_Baya_027_PSTR4_S34","122021_Coralina_2021_Baya_033_PSTR7_S35","122021_Coralina_2021_Baya_035_PSTR_S32","122021_Coralina_2021_Baya_037_PSTR_S33","122021_Coralina_2021_Baya_013_DLAB_S43","122021_Coralina_2021_Baya_015_DLAB_S44"
"1929291",336.018682638755,663.137182427952,0,642.714827431069,225.665060972964,0,226.491513229769,538.677196172182,175.654312313367,380.42823538363,1223.42512869047,749.891463077712,0,0,0,0,367.17286310101,207.608231055749,1276.75328988561,948.957763295358,41335.0123034623,440.590287316702,807.662085860318,2450.04923358428,114.062245396774,251.403670493589,508.623479909373,118.343647045799
"27350",2469.73731739485,1315.40326350463,3307.78283133488,2206.65424084667,1874.75589116001,3367.11133914828,2384.82240400757,1282.06907559176,2429.88465366825,1293.45600030434,1546.59403060871,4499.34877846627,3245.13230154768,1664.3291257597,2622.09111766634,1156.64508666806,847.321991771562,879.281919765525,577.12515448987,203.969951743694,1047.43090614326,1850.47920673015,1625.05504022498,1666.96387728045,1800.5540166205,1340.81957596581,1094.31112344138,1654.90229014045
"192812",4393.44427550172,3359.17031754487,0,0,0,0,0,85.876074752087,7919.08191346097,7209.11506051979,0,0,0,0,0,0,22011.5424084657,2192.098674971,1848.43386744633,1417.83990846227,73.1661294732424,0,0,0,228.124490793547,0,0,0
"450367",940.852311388513,496.446961708357,1876.5306446996,1114.03903421385,364.535867725557,1058.23499230375,386.367875509606,741.65700922257,0,164.852235332906,0,0,0,13969.1444600281,5946.52807042188,13413.870102331,809.663236581715,897.600293093973,386.56496196963,148.002586935973,42.3593381160877,1155.90157731323,676.295361051712,984.671685649379,1270.97930584976,1209.1319390406,847.705799848954,1217.79430347129
"1406",2990.56627548492,1558.19119368317,1431.25218663529,3342.11710264156,1050.21047606648,2405.07952796306,1092.48847557889,1105.97975059506,2415.2467943088,1020.81576494607,1731.26197456199,2565.4181631606,2146.77983025462,2131.83730715288,4026.78278784473,1156.64508666806,2419.57502094768,2387.49465714111,642.460077639667,345.753942589921,1162.95637373259,1163.67670003058,1819.6724103118,1341.3244221838,1776.11210689262,1616.16645317307,1063.48545799232,345.487098633703
"1282",814.84530539898,413.10185134856,2449.03151935371,1028.34372388971,668.315757496854,1795.79271421242,759.412720829225,656.648369568989,512.325077580655,158.511764743179,2008.26389049191,1854.99467182381,1547.67848227659,1234.22159887798,2715.73722901156,1783.16117527992,1035.6157677208,1013.61665750748,639.737789175092,2355.60419879608,12153.2791903975,559.808835649456,1554.5062435685,845.111919179389,928.792569659443,1101.38750882906,3930.27234475424,1194.88908146242
"44689",2553.74198805454,1431.36167791826,3435.00524792468,2335.19720633288,2187.21520635334,3302.97588506927,2491.40664552746,1630.77798519115,1551.61309210141,710.132706049443,831.005747789756,2170.73844575127,1198.20269595607,1683.02945301543,2668.91417333895,1991.99987148388,1214.49485487257,1172.3758930207,732.295596970637,218.894582359087,797.125726366378,1606.85869491973,1311.23453095997,1713.48379943711,1564.28222258432,1687.9960733141,1618.34743607528,1217.79430347129
"3344828",0,0,2035.55866543685,835.529275660389,477.368398212038,929.964084145716,373.044845319619,301.867414280064,0,0,669.421296830636,1578.71886963729,1098.35247129306,935.016362786349,5197.35917966006,7823.41885010201,0,128.228613299139,81.6686539372458,140.540271628277,4474.68644462672,406.898088874836,155.693896069459,170.573047907766,2533.8113084569,1472.50721289102,10419.0749217799,4701.2968173194
"5825",1293.67192815921,637.77127927497,2957.92118571292,1392.54879276732,1189.08128281908,1218.57362750128,1385.59513975859,1225.68579418888,2459.16037238714,906.687294330985,1385.00957964959,2565.4181631606,1847.2291562656,6601.21552127162,2622.09111766634,6955.93503510097,875.566058163947,964.767661964951,536.290827521247,150.490025371872,115.52546758933,945.973263944683,924.432507912412,1449.87090721602,1385.04155124654,1101.38750882906,693.57747260369,933.387796861221
"1653831",1671.6929461278,1050.87313062353,2003.7530612894,2485.16399940013,1640.411404765,1795.79271421242,1505.50241146846,1390.49846290501,1390.59663914749,868.644470792622,992.590198748875,2210.20641749221,3295.05741387918,1888.73305282842,4026.78278784473,1622.5160243538,1845.27900430251,2240.94767051352,735.017885435212,313.417242923238,150.183107866129,2008.57336864967,1406.1104988773,1798.77032339099,1759.81750040737,1843.62691695299,1510.45760700359,1261.69597898828
