,072023_Carolina_2023_Baya_053_MCAV_S3,072023_Carolina_2023_Baya_055_MCAV_S4,122021_Coralina_2021_Baya_003_MCAV_S27,122021_Coralina_2021_Baya_005_MCAV_S28,122021_Coralina_2021_Baya_007_MCAV_S29,122021_Coralina_2021_Baya_017_MCAV_S30,122021_Coralina_2021_Baya_023_MCAV_S31
199306,453.6252216,257.282732,667.9176871,471.3242068,538.1243762,673.4222678,333.0757547
959,957.6532455,514.565464,1431.252187,921.224586,954.7367964,1314.776809,905.9660529
696485,562.8312934,659.513482,0,2099.535103,546.8038016,0,399.6909057
3101277,176.4098084,148.5717185,0,985.4960687,425.2918457,545.1513597,173.1993925
779,0,61.60290766,0,0,486.0478236,352.7449974,652.8284793
36035,890.449509,427.5966532,1081.390541,985.4960687,607.5597795,897.8963571,719.4436303
113608,831.6462395,547.178768,1176.807353,921.224586,876.6219676,1250.641355,639.5054491
2745196,2646.147126,1434.985378,0,8762.345481,0,0,0
1328300,428.4238204,166.6902207,0,321.3574137,607.5597795,769.6254489,972.5812039
2663009,428.4238204,199.3035248,318.0560415,364.2050689,442.6506965,577.2190867,572.8902982
1573823,504.028024,289.896036,604.3064788,835.5292757,407.9329948,737.5577219,386.3678755
314275,0,148.5717185,0,0,0,0,0
666563,772.8429701,1391.500973,0,278.5097586,407.9329948,0,532.9212076
28450,529.2294252,308.0145383,2067.36427,1049.767551,2681.942455,2052.334531,426.3369661
33038,722.4401677,485.5758604,1017.779333,1028.343724,1076.248752,1378.912263,999.2272642
4924,924.0513773,452.9625563,1145.001749,814.1054481,720.39231,705.4899949,746.0896906
79883,646.8359641,380.4885473,1017.779333,664.138655,772.4688626,1250.641355,839.350902
28985,873.6485749,445.7151554,1240.418562,942.6484136,564.1626524,1314.776809,1625.409683
2583452,294.0163473,217.422027,413.4728539,0,147.5502322,609.2868138,213.168483
324769,336.0186826,217.422027,413.4728539,342.7812413,260.3827627,320.6772704,413.0139359
