,072023_Carolina_2023_Baya_053_MCAV_S3,072023_Carolina_2023_Baya_055_MCAV_S4,122021_Coralina_2021_Baya_003_MCAV_S27,122021_Coralina_2021_Baya_005_MCAV_S28,122021_Coralina_2021_Baya_007_MCAV_S29,122021_Coralina_2021_Baya_017_MCAV_S30,122021_Coralina_2021_Baya_023_MCAV_S31
5691,789.6439042,460.2099572,1717.502624,835.5292757,1258.516686,737.5577219,1065.842415
1503041,0,0,0,0,0,0,0
1355477,0,1065.367932,0,0,0,0,0
1462615,243.6135449,6634.995525,604.3064788,407.052724,433.9712711,929.9640841,386.3678755
550,218.4121437,268.1538333,0,0,182.2679339,0,253.1375736
2743,0,8667.891477,0,0,0,0,0
5807,915.6509102,478.3284595,1240.418562,899.8007584,598.8803541,929.9640841,746.0896906
5824,781.2434371,793.5903986,0,0,1840.038189,3078.501796,1572.117562
101201,1201.26679,597.9105743,1399.446582,1242.582,486.0478236,737.5577219,826.0278718
463800,1083.660252,626.9001779,1145.001749,1135.462862,763.7894371,1026.167265,732.7666604
996,898.8499761,637.7712793,1940.141853,1499.667931,581.5215033,1443.047717,199.8454528
2721244,0,315.2619392,0,0,3341.578787,0,1505.502411
107401,294.0163473,373.2411464,540.6952705,449.9003792,390.574144,577.2190867,466.3060566
1290,336.0186826,159.4428198,1049.584937,364.2050689,355.8564423,962.0318112,466.3060566
2697010,403.2224192,358.7463446,922.3625203,685.5624826,1484.181747,1154.438173,666.1515095
500148,840.0467066,445.7151554,699.7232912,642.7148274,928.6985202,994.0995382,1279.010898
817,579.6322276,416.7255518,1081.390541,599.8671723,503.4066745,0,572.8902982
36745,554.4308264,297.1434369,604.3064788,449.9003792,781.148288,865.8286301,532.9212076
4952,0,68.85030856,0,0,234.3444864,737.5577219,0
4975,772.8429701,362.370045,1685.69702,856.9531032,642.2774812,1282.709082,399.6909057
584,294.0163473,358.7463446,445.2784581,449.9003792,277.7416135,513.0836326,266.4606038
367791,0,177.5613221,858.751312,0,703.0334592,1026.167265,399.6909057
28132,882.0490419,463.8336577,826.9457078,728.4101378,399.2535694,929.9640841,386.3678755
36839,638.435497,460.2099572,890.5569161,749.8339653,850.5836914,865.8286301,865.9969623
2066072,0,1000.141324,0,0,0,0,0
181124,470.4261557,282.6486351,508.8896664,471.3242068,1232.47841,1154.438173,719.4436303
165179,428.4238204,235.5405293,890.5569161,471.3242068,763.7894371,1378.912263,786.0587812
132608,100.8056048,90.59251126,0,257.085931,147.5502322,448.9481786,266.4606038
188913,285.6158802,289.896036,667.9176871,449.9003792,390.574144,833.760903,239.8145434
38293,865.2481078,782.7192973,1272.224166,1285.429655,1102.287029,1218.573628,1012.550294
101028,436.8242874,362.370045,795.1401037,385.6288965,824.5454151,1282.709082,1412.2412
3240067,2452.936383,1565.438595,2767.087561,5441.652206,0,0,4636.414506
181762,411.6228862,173.9376216,763.3344995,771.2577929,173.5885084,513.0836326,293.1066642
2034170,1066.859317,500.0706622,985.9737286,878.3769308,1145.684156,1763.724987,1532.148472
34406,403.2224192,300.7671374,1113.196145,599.8671723,225.665061,545.1513597,319.7527246
43675,92.40513773,65.22660811,1208.612958,407.052724,0,448.9481786,359.7218151
43658,285.6158802,286.2723356,1049.584937,449.9003792,95.47367964,1090.302719,0
1206,672.0373653,398.6070495,858.751312,792.6816205,737.7511609,705.4899949,652.8284793
195108,504.028024,192.0561239,1017.779333,321.3574137,364.5358677,609.2868138,772.735751
42260,882.0490419,387.7359482,985.9737286,621.2909999,807.1865642,962.0318112,706.1206001
2764711,1159.264455,460.2099572,2576.253936,1242.582,920.0190947,1218.573628,1585.440593
76859,1066.859317,605.1579752,699.7232912,1199.734345,1189.081283,1058.234992,1025.873325
3133280,319.2177485,148.5717185,0,0,0,0,0
796027,504.028024,297.1434369,763.3344995,364.2050689,503.4066745,609.2868138,479.6290868
453459,630.0350299,413.1018513,699.7232912,728.4101378,1518.899449,1378.912263,452.9830265
63577,579.6322276,300.7671374,0,385.6288965,781.148288,769.6254489,1025.873325
715475,92.40513773,0,0,0,928.6985202,0,0
1220207,991.2551138,438.4677545,858.751312,685.5624826,668.3157575,994.0995382,839.350902
1598,386.421485,253.6590315,540.6952705,449.9003792,789.8277134,1026.167265,1212.395747
1437360,453.6252216,268.1538333,922.3625203,407.052724,1110.966454,962.0318112,3224.173306
1421,420.0233533,297.1434369,0,0,546.8038016,801.693176,732.7666604
346,814.8453054,641.3949797,0,2056.687448,451.3301219,0,0
318829,588.0326946,344.2515428,731.5288954,428.4765516,980.7750727,705.4899949,945.9351435
851,403.2224192,271.7775338,508.8896664,621.2909999,711.7128846,1058.234992,799.3818114
45151,898.8499761,485.5758604,699.7232912,792.6816205,520.7655253,1090.302719,586.2133284
48095,772.8429701,293.5197365,1176.807353,535.5956895,529.4449507,737.5577219,692.7975699
1160,747.6415689,449.3388559,1526.668999,1264.005827,399.2535694,1026.167265,865.9969623
1006,714.0397006,587.039473,1176.807353,921.224586,963.4162218,1218.573628,1105.811506
244734,0,105.0873131,0,878.3769308,243.0239118,0,0
1419277,0,0,699.7232912,0,112.8325305,0,0
