Gene_Family,072023_Carolina_2023_Baya_057_SSID_S7,072023_Carolina_2023_Baya_059_SSID_S8,072023_Carolina_2023_Baya_061_SSID_S5,072023_Carolina_2023_Baya_063_SSID_S6,122021_Coralina_2021_Baya_019_SSID1_S46,122021_Coralina_2021_Baya_021_SSID2_S36
2.4.1.244-RXN: (expasy) acetylgalactosaminyltransferase [2.4.1.244],0,0,0,0,0,18.5821
2.4.1.32-RXN: (expasy) Glucomannan 4-beta-mannosyltransferase [2.4.1.32],0,0,35.1342,4.16673,0,0
2.4.1.54-RXN: (expasy) Undecaprenyl-phosphate mannosyltransferase [2.4.1.54],0,0,59.3061,3.94277,0,0
2.4.1.83-RXN: (expasy) Dolichyl-phosphate beta-D-mannosyltransferase [2.4.1.83],0,0,2.29985,14.1397,0,0
2.4.2.12-RXN: (expasy) Nicotinamide phosphoribosyltransferase [2.4.2.12],0,0,0,2.37617,0,0
2.4.2.31-RXN: (expasy) NAD(+)--protein-arginine ADP-ribosyltransferase [2.4.2.31],0,0,0,0,0,0
2.4.2.37-RXN: (expasy) NAD(+)--dinitrogen-reductase ADP-D-ribosyltransferase [2.4.2.37],0,0,15.5772,0,0,0
2.5.1.19-RXN: (expasy) 3-phosphoshikimate 1-carboxyvinyltransferase [2.5.1.19],21.3994,21.802,163.417,148.657,38.0091,0
2.5.1.39-RXN: (expasy) 4-hydroxybenzoate polyprenyltransferase [2.5.1.39],0,0,36.8671,6.50204,0,0
2.5.1.44-RXN: (expasy) Homospermidine synthase [2.5.1.44],0,0,0,0,46.573,0
2.5.1.46-RXN: (expasy) Deoxyhypusine synthase [2.5.1.46],0,0,0,0,0,0
2.5.1.64-RXN: (expasy) synthase [2.2.1.9],0,0,6.58166,18.7306,21.5338,0
"2.5.1.68-RXN: (expasy) (2Z,6E)-farnesyl diphosphate synthase [2.5.1.68]",0,0,0,0,41.1099,0
2.6.1.18-RXN: (expasy) Beta-alanine--pyruvate transaminase [2.6.1.18],0,0,69.7344,80.1391,39.826,0
2.6.1.37-RXN: (metacyc) phosphonoacetaldehyde transaminase [2.6.1.37],0,0,0,72.8298,0,0
2.6.1.50-RXN: (expasy) Glutamine--scyllo-inositol transaminase [2.6.1.50],0,0,12.0174,10.9418,0,0
2.6.1.57-RXN: (expasy) Aromatic-amino-acid transaminase [2.6.1.57],0,0,0,11.096,0,0
2.6.1.82-RXN: (expasy) Putrescine--2-oxoglutarate transaminase [2.6.1.82],0,0,0,4.54369,0,2.41668
2.7.1.121-RXN: (expasy) Phosphoenolpyruvate--glycerone phosphotransferase [2.7.1.121],0,0,17.9448,17.8015,0,0
2.7.1.148-RXN: (expasy) 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [2.7.1.148],0,0,78.7176,41.4873,8.46132,0
2.7.1.156-RXN: (expasy) Adenosylcobinamide kinase [2.7.1.156],0,0,40.6818,17.8754,40.919,0
2.7.1.63-RXN: (expasy) Polyphosphate--glucose phosphotransferase [2.7.1.63],0,0,0,12.3772,0,0
2.7.1.90-RXN: (expasy) Diphosphate--fructose-6-phosphate 1-phosphotransferase [2.7.1.90],0,0,42.1457,75.9692,0,0
2.7.11.24-RXN: (expasy) Mitogen-activated protein kinase [2.7.11.24],0,0,40.8659,9.07059,0,0
2.7.11.30-RXN: (expasy) Receptor protein serine/threonine kinase [2.7.11.30],26.6922,58.3766,13.8283,3.61915,0,0
