,Gene_Family,072023_Carolina_2023_Baya_052_DCYL_S9,072023_Carolina_2023_Baya_053_MCAV_S3,072023_Carolina_2023_Baya_055_MCAV_S4,072023_Carolina_2023_Baya_057_SSID_S7,072023_Carolina_2023_Baya_059_SSID_S8,072023_Carolina_2023_Baya_061_SSID_S5,072023_Carolina_2023_Baya_063_SSID_S6,072023_Carolina_2023_Baya_065_DCYL_S1,072023_Carolina_2023_Baya_066_DCYL_S2,122021_Coralina_2021_Baya_001_DCYL_S24,122021_Coralina_2021_Baya_003_MCAV_S27,122021_Coralina_2021_Baya_005_MCAV_S28,122021_Coralina_2021_Baya_007_MCAV_S29,122021_Coralina_2021_Baya_009_DCYL_S25,122021_Coralina_2021_Baya_010_DCYL_S26,122021_Coralina_2021_Baya_017_MCAV_S30,122021_Coralina_2021_Baya_019_SSID1_S46,122021_Coralina_2021_Baya_021_SSID2_S36,122021_Coralina_2021_Baya_023_MCAV_S31
219,"2.1.1.132-RXN: (expasy) Precorrin-6B C(5,15)-methyltransferase (decarboxylating) [2.1.1.132]",0,0,0,0,0,15.041,12.1794,0,44.2998,0,0,0,0,0,0,0,42.6538,0,0
222,2.1.1.133-RXN: (expasy) Precorrin-4 C(11)-methyltransferase [2.1.1.133],0,0,10.8216,0,0,21.0507,9.68788,0,0,40.1997,0,0,0,0,0,0,54.1191,0,0
224,2.1.1.137-RXN: (expasy) Arsenite methyltransferase [2.1.1.137],0,0,0,0,0,0,1.75811,0,0,0,0,0,0,0,0,0,0,0,0
226,2.1.1.151-RXN: (expasy) Cobalt-factor II C(20)-methyltransferase [2.1.1.151],0,0,0,0,0,38.1291,15.8379,0,0,0,0,0,0,0,0,0,0,0,0
228,2.1.1.34-RXN: (expasy) tRNA (guanosine(18)-2'-O)-methyltransferase [2.1.1.34],0,0,69.8396,0,0,0,35.069,0,21.7084,47.5154,0,0,0,0,0,0,0,0,0
230,2.1.1.44-RXN: (expasy) L-histidine N(alpha)-methyltransferase [2.1.1.44],0,0,0,0,0,6.61028,0,0,0,0,0,41.6596,0,0,0,0,0,0,0
232,2.1.1.5-RXN: (expasy) Betaine--homocysteine S-methyltransferase [2.1.1.5],0,0,0,0,0,0,2.84035,0,0,0,0,0,0,0,0,0,0,0,0
234,2.1.1.63-RXN: (expasy) Methylated-DNA--[protein]-cysteine S-methyltransferase [2.1.1.63],0,0,23.9667,26.1361,0,7.96002,89.9254,0,41.7573,0,0,0,0,0,0,0,19.8972,0,0
237,2.1.1.64-RXN: (expasy) 3-demethylubiquinol 3-O-methyltransferase [2.1.1.64],0,0,24.2899,55.5451,0,10.4076,133.333,0,70.6918,0,0,23.3158,0,0,0,0,0,0,0
239,2.1.1.72-RXN: (expasy) Site-specific DNA-methyltransferase (adenine-specific) [2.1.1.72],2.23376,12.8739,194.129,39.851,0,118.207,63.5635,0,34.603,26.4901,0,76.7747,149.504,0,0,76.7254,0,0,0
241,2.1.1.74-RXN: (expasy) (NAD(P)H-oxidizing) [2.1.1.74],0.88926,0,26.7803,0,0,126.351,70.8251,0,89.7655,0,0,0,0,0,0,0,69.4583,0,0
243,2.1.1.77-RXN: (expasy) Protein-L-isoaspartate(D-aspartate) O-methyltransferase [2.1.1.77],0,0,58.5187,0,0,141.153,173.66,0,68.0454,0,0,0,0,0,0,0,14.9971,0,0
245,2.1.1.79-RXN: (expasy) Cyclopropane-fatty-acyl-phospholipid synthase [2.1.1.79],0,0,0,0,0,11.971,22.8481,0,56.8724,56.7208,0,0,0,0,0,0,0,0,0
247,2.1.3.1-RXN: (expasy) Methylmalonyl-CoA carboxytransferase [2.1.3.1],0,0,35.995,8.34194,0,65.0567,73.6567,0,0,0,0,0,0,0,0,0,41.4921,0,0
250,2.1.3.9-RXN: (expasy) N-acetylornithine carbamoyltransferase [2.1.3.9],0,0,0,0,0,0,11.5694,0,0,0,0,0,0,0,0,0,0,0,0
252,2.3.1.101-RXN: (expasy) Formylmethanofuran--tetrahydromethanopterin N-formyltransferase [2.3.1.101],0,0,0,0,0,0,17.7389,0,0,0,0,0,0,0,0,0,0,0,0
254,2.3.1.128-RXN: (expasy) [Ribosomal protein S18]-alanine N-acetyltransferase [2.3.1.266],0,0,0,0,0,0,1.78827,0,0,0,0,0,0,0,0,0,0,0,0
256,2.3.1.154-RXN: (expasy) Propanoyl-CoA C-acyltransferase [2.3.1.176],0,0,0,0,0,0,4.98639,0,0,0,0,0,0,0,0,0,0,0,0
