Gene_Family,072023_Carolina_2023_Baya_052_DCYL_S9,072023_Carolina_2023_Baya_065_DCYL_S1,072023_Carolina_2023_Baya_066_DCYL_S2,122021_Coralina_2021_Baya_001_DCYL_S24,122021_Coralina_2021_Baya_009_DCYL_S25,122021_Coralina_2021_Baya_010_DCYL_S26
1.2.1.66-RXN: (expasy) S-(hydroxymethyl)mycothiol dehydrogenase [1.1.1.306],0,0,0,0,0,0
1.2.1.9-RXN: (expasy) Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) [1.2.1.9],0,0,0,0,0,0
1.2.3.3-RXN: (expasy) Pyruvate oxidase [1.2.3.3],0,0,0,0,0,0
1.2.4.4-RXN: (expasy) 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) [1.2.4.4],0.640484,0,31.3278,57.7965,83.883,0
1.2.7.4-RXN: (expasy) Anaerobic carbon-monoxide dehydrogenase [1.2.7.4],0,0,10.9134,0,0,0
1.2.7.8-RXN: (expasy) Indolepyruvate ferredoxin oxidoreductase [1.2.7.8],0,0,0,0,0,0
1.2.99.3-RXN: (expasy) Aldehyde dehydrogenase (quinone) [1.2.5.2],0,0,0,0,0,0
1.20.98.1-RXN: (expasy) Arsenate reductase (azurin) [1.20.9.1],0,0,18.7308,0,0,0
1.21.4.1-RXN: (expasy) D-proline reductase [1.21.4.1],0,0,0,0,0,0
1.21.4.3-RXN: (expasy) Sarcosine reductase [1.21.4.3],0,0,0,0,0,0
1.21.4.4-RXN: (expasy) Betaine reductase [1.21.4.4],0,0,0,0,0,0
1.3.1.2-RXN: (expasy) Dihydropyrimidine dehydrogenase (NADP(+)) [1.3.1.2],0,0,0,0,0,0
1.3.1.54-RXN: (expasy) Precorrin-6A reductase [1.3.1.54],0.868401,0,0,0,0,0
"1.3.1.56-RXN: (expasy) Cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase [1.3.1.56]",0,0,0,0,0,0
"1.3.7.2-RXN: (expasy) 15,16-dihydrobiliverdin:ferredoxin oxidoreductase [1.3.7.2]",0,0,44.1034,0,0,0
1.3.7.3-RXN: (expasy) Phycoerythrobilin:ferredoxin oxidoreductase [1.3.7.3],0,0,40.594,0,0,0
1.3.7.5-RXN: (expasy) Phycocyanobilin:ferredoxin oxidoreductase [1.3.7.5],0,0,75.46,0,0,0
1.3.99.15-RXN: (expasy) Benzoyl-CoA reductase [1.3.7.8],0,0,0,0,0,0
1.3.99.16-RXN: (expasy) Isoquinoline 1-oxidoreductase [1.3.99.16],0,0,38.9951,66.3707,0,0
1.4.1.21-RXN: (expasy) Aspartate dehydrogenase [1.4.1.21],0,0,0,0,0,0
1.4.3.19-RXN: (expasy) AMBIGUOUS [1.4.3.19; 1.4.3.3],0,0,0,0,0,0
1.5.1.20-RXN: (expasy) Methylenetetrahydrofolate reductase (NAD(P)H) [1.5.1.20],1.40954,31.9763,117.608,268.631,0,0
"1.5.1.34-RXN: (expasy) 6,7-dihydropteridine reductase [1.5.1.34]",1.46381,0,168.527,61.946,0,0
"1.5.1.7-RXN: (expasy) Saccharopine dehydrogenase (NAD(+), L-lysine-forming) [1.5.1.7]",0,0,0,0,0,0
"1.5.1.8-RXN: (expasy) Saccharopine dehydrogenase (NADP(+), L-lysine-forming) [1.5.1.8]",0,0,0,0,0,0
"1.5.1.9-RXN: (expasy) Saccharopine dehydrogenase (NAD(+), L-glutamate-forming) [1.5.1.9]",0,0,0,0,0,0
1.5.5.1-RXN-YEAST: (expasy) Electron-transferring-flavoprotein dehydrogenase [1.5.5.1],0,0,0,0,0,0
1.5.8.2-RXN: (expasy) Trimethylamine dehydrogenase [1.5.8.2],0,0,15.2786,0,0,0
1.6.4.4-RXN: (expasy) Protein-disulfide reductase [1.8.1.8],0,0,0,0,0,0
1.7.2.2-RXN: (expasy) Nitrite reductase (cytochrome; ammonia-forming) [1.7.2.2],0.803595,0,87.8087,0,0,0
1.7.2.3-RXN: (expasy) Trimethylamine-N-oxide reductase [1.7.2.3],0,0,0,0,0,0
1.8.1.15-RXN: (expasy) Mycothione reductase [1.8.1.15],0,0,0,0,0,0
1.8.1.4-RXN: (expasy) Dihydrolipoyl dehydrogenase [1.8.1.4],0.882637,32.4084,194.186,343.273,232.774,0
1.8.4.12-RXN: (expasy) Peptide-methionine (R)-S-oxide reductase [1.8.4.12],0,0,48.7521,71.6889,0,0
1.8.4.8-RXN: (expasy) Phosphoadenylyl-sulfate reductase (thioredoxin) [1.8.4.8],0,0,39.8157,0,0,0
1.8.98.1-RXN: (expasy) Dihydromethanophenazine:CoB--CoM heterodisulfide reductase [1.8.98.1],0,0,0,0,27.7938,0
"13-PROPANEDIOL-DEHYDROGENASE-RXN: (expasy) 1,3-propanediol dehydrogenase [1.1.1.202]",0,0,0,0,0,0
1PFRUCTPHOSN-RXN: (expasy) 1-phosphofructokinase [2.7.1.56],0,0,0,0,0,0
1TRANSKETO-RXN: (expasy) Transketolase [2.2.1.1],1.06265,0,73.8613,330.615,0,0
"2-CHLOROBENZOATE-12-DIOXYGENASE-RXN: (expasy) 2-halobenzoate 1,2-dioxygenase [1.14.12.13]",0,0,0,0,0,0
2-DEHYDROPANTOATE-REDUCT-RXN: (expasy) 2-dehydropantoate 2-reductase [1.1.1.169],0,0,0,0,0,39.4234
2-HALOACID-DEHALOGENASE-RXN: (expasy) AMBIGUOUS [3.8.1.10; 3.8.1.2],0,0,0,0,0,0
2-HYDROXY-3-OXOADIPATE-SYNTHASE-RXN: (expasy) 2-hydroxy-3-oxoadipate synthase [2.2.1.5],0,0,0,0,0,0
2-HYDROXYGLUTARATE-DEHYDROGENASE-RXN: (expasy) L-2-hydroxyglutarate dehydrogenase [1.1.99.2],0,0,0,0,0,0
2-ISOPROPYLMALATESYN-RXN: (expasy) 2-isopropylmalate synthase [2.3.3.13],1.87165,0,82.9348,246.818,0,0
2-METHYLCITRATE-DEHYDRATASE-RXN: (expasy) 2-methylcitrate dehydratase [4.2.1.79],0,0,0,0,0,0
2-METHYLCITRATE-SYNTHASE-RXN: (expasy) 2-methylcitrate synthase [2.3.3.5],0,0,17.0039,53.6865,0,0
2-NITROPROPANE-DIOXYGENASE-RXN: (expasy) Nitronate monooxygenase [1.13.12.16],0,0,0,0,0,0
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN: (metacyc) 2-octaprenyl-6-hydroxyphenyl methylase [2.1.1.222],0,0,14.0453,0,0,0
"2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN: (expasy) 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [2.1.1.201]",2.05325,0,26.4857,50.9682,0,0
2-OXOGLUTARATE-SYNTHASE-RXN: (expasy) 2-oxoglutarate synthase [1.2.7.3],0,0,0,0,0,0
2-OXOPENT-4-ENOATE-HYDRATASE-RXN: (expasy) 2-oxopent-4-enoate hydratase [4.2.1.80],0,0,0,0,0,0
2.1.1.113-RXN: (expasy) Site-specific DNA-methyltransferase (cytosine-N(4)-specific) [2.1.1.113],0,0,0,0,0,0
2.1.1.130-RXN: (expasy) Precorrin-2 C(20)-methyltransferase [2.1.1.130],0,0,83.1414,0,0,0
2.1.1.131-RXN: (expasy) Precorrin-3B C(17)-methyltransferase [2.1.1.131],0,0,0,0,0,0
"2.1.1.132-RXN: (expasy) Precorrin-6B C(5,15)-methyltransferase (decarboxylating) [2.1.1.132]",0,0,44.2998,0,0,0
2.1.1.133-RXN: (expasy) Precorrin-4 C(11)-methyltransferase [2.1.1.133],0,0,0,40.1997,0,0
2.1.1.137-RXN: (expasy) Arsenite methyltransferase [2.1.1.137],0,0,0,0,0,0
2.1.1.151-RXN: (expasy) Cobalt-factor II C(20)-methyltransferase [2.1.1.151],0,0,0,0,0,0
2.1.1.34-RXN: (expasy) tRNA (guanosine(18)-2'-O)-methyltransferase [2.1.1.34],0,0,21.7084,47.5154,0,0
2.1.1.44-RXN: (expasy) L-histidine N(alpha)-methyltransferase [2.1.1.44],0,0,0,0,0,0
2.1.1.5-RXN: (expasy) Betaine--homocysteine S-methyltransferase [2.1.1.5],0,0,0,0,0,0
2.1.1.63-RXN: (expasy) Methylated-DNA--[protein]-cysteine S-methyltransferase [2.1.1.63],0,0,41.7573,0,0,0
2.1.1.64-RXN: (expasy) 3-demethylubiquinol 3-O-methyltransferase [2.1.1.64],0,0,70.6918,0,0,0
2.1.1.72-RXN: (expasy) Site-specific DNA-methyltransferase (adenine-specific) [2.1.1.72],2.23376,0,34.603,26.4901,0,0
2.1.1.74-RXN: (expasy) (NAD(P)H-oxidizing) [2.1.1.74],0.88926,0,89.7655,0,0,0
2.1.1.77-RXN: (expasy) Protein-L-isoaspartate(D-aspartate) O-methyltransferase [2.1.1.77],0,0,68.0454,0,0,0
2.1.1.79-RXN: (expasy) Cyclopropane-fatty-acyl-phospholipid synthase [2.1.1.79],0,0,56.8724,56.7208,0,0
2.1.3.1-RXN: (expasy) Methylmalonyl-CoA carboxytransferase [2.1.3.1],0,0,0,0,0,0
2.1.3.9-RXN: (expasy) N-acetylornithine carbamoyltransferase [2.1.3.9],0,0,0,0,0,0
2.3.1.101-RXN: (expasy) Formylmethanofuran--tetrahydromethanopterin N-formyltransferase [2.3.1.101],0,0,0,0,0,0
2.3.1.128-RXN: (expasy) [Ribosomal protein S18]-alanine N-acetyltransferase [2.3.1.266],0,0,0,0,0,0
2.3.1.154-RXN: (expasy) Propanoyl-CoA C-acyltransferase [2.3.1.176],0,0,0,0,0,0
2.3.1.157-RXN: (expasy) Glucosamine-1-phosphate N-acetyltransferase [2.3.1.157],0,0,63.9853,29.0441,0,0
2.3.1.168-RXN: (expasy) Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase [2.3.1.168],0,0,0,0,0,0
2.3.1.176-RXN: (expasy) Propanoyl-CoA C-acyltransferase [2.3.1.176],0,0,0,0,0,0
2.3.1.179-RXN: (expasy) Beta-ketoacyl-[acyl-carrier-protein] synthase II [2.3.1.179],1.52648,0,142.827,157.214,0,0
2.3.1.180-RXN: (expasy) Beta-ketoacyl-[acyl-carrier-protein] synthase III [2.3.1.180],0,0,14.4176,135.226,0,832.737
2.3.1.184-RXN: (expasy) Acyl-homoserine-lactone synthase [2.3.1.184],0,0,0,0,0,0
2.3.1.41-RXN: (expasy) Beta-ketoacyl-[acyl-carrier-protein] synthase I [2.3.1.41],0,0,260.892,98.2838,0,0
2.3.1.89-RXN: (expasy) Tetrahydrodipicolinate N-acetyltransferase [2.3.1.89],0,0,0,0,0,0
2.3.2.13-RXN: (expasy) Protein-glutamine gamma-glutamyltransferase [2.3.2.13],0,0,0,0,0,0
2.4.1.129-RXN: (expasy) Peptidoglycan glycosyltransferase [2.4.1.129],0.803477,31.9763,0,0,0,0
2.4.1.135-RXN: (expasy) Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase [2.4.1.135],35.7017,0,0,0,0,0
"2.4.1.157-RXN: (expasy) 1,2-diacylglycerol 3-alpha-glucosyltransferase [2.4.1.337]",0,0,0,0,0,0
"2.4.1.211-RXN: (expasy) 1,3-beta-galactosyl-N-acetylhexosamine phosphorylase [2.4.1.211]",0,0,0,0,0,0
2.4.1.213-RXN: (expasy) Glucosylglycerol-phosphate synthase [2.4.1.213],0,0,0,0,0,0
