,072023_Carolina_2023_Baya_052_DCYL_S9,072023_Carolina_2023_Baya_053_MCAV_S3,072023_Carolina_2023_Baya_055_MCAV_S4,072023_Carolina_2023_Baya_057_SSID_S7,072023_Carolina_2023_Baya_059_SSID_S8,072023_Carolina_2023_Baya_061_SSID_S5,072023_Carolina_2023_Baya_063_SSID_S6,072023_Carolina_2023_Baya_065_DCYL_S1,072023_Carolina_2023_Baya_066_DCYL_S2,122021_Coralina_2021_Baya_001_DCYL_S24,122021_Coralina_2021_Baya_003_MCAV_S27,122021_Coralina_2021_Baya_005_MCAV_S28,122021_Coralina_2021_Baya_007_MCAV_S29,122021_Coralina_2021_Baya_009_DCYL_S25,122021_Coralina_2021_Baya_010_DCYL_S26,122021_Coralina_2021_Baya_013_DLAB_S43,122021_Coralina_2021_Baya_015_DLAB_S44,122021_Coralina_2021_Baya_017_MCAV_S30,122021_Coralina_2021_Baya_019_SSID1_S46,122021_Coralina_2021_Baya_021_SSID2_S36,122021_Coralina_2021_Baya_023_MCAV_S31,122021_Coralina_2021_Baya_025_MMEA_S22,122021_Coralina_2021_Baya_027_PSTR4_S34,122021_Coralina_2021_Baya_029_MMEA_S23,122021_Coralina_2021_Baya_031_MMEA_S45,122021_Coralina_2021_Baya_033_PSTR7_S35,122021_Coralina_2021_Baya_035_PSTR_S32,122021_Coralina_2021_Baya_037_PSTR_S33,Sum
2171986,24.80720948832992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.828861348778425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.63607083710835
2035710,23.951788471490957,0.0,62.923283270686035,95.8765699788334,62.798620523635826,139.78442699821838,237.1612284951636,0.0,107.6721812768844,232.67909446771236,0.0,0.0,0.0,0.0,0.0,0.0,170.93861667015213,0.0,0.0,0.0,0.0,0.0,50.1296535129494,0.0,0.0,0.0,0.0,0.0,1183.9154636657267
3228937,23.951788471490957,78.68833695776583,4500.670629729596,0.0,0.0,188.073592688512,206.91107179935193,0.0,74401.47726232711,0.0,0.0,0.0,94.34030725912379,0.0,0.0,0.0,67.28434911484712,0.0,61.5447738229562,0.0,107.70755245357805,0.0,45.57241228449946,0.0,0.0,0.0,0.0,0.0,79776.22207690883
1755824,23.951788471490957,0.0,0.0,0.0,0.0,71.16298101727482,128.26066439024154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44900331657948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.8244371955868
2301193,23.096367454651993,0.0,0.0,0.0,0.0,38.12302554496865,62.9203259272883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.736550441824534,0.0,0.0,0.0,0.0,0.0,162.87626936873346
3423715,23.096367454651993,0.0,0.0,0.0,0.0,0.0,33.88017549930909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18495922022895,0.0,0.0,0.0,0.0,0.0,31.90068859914962,0.0,0.0,0.0,0.0,0.0,107.06219077333965
3036766,23.096367454651993,0.0,364.2926926197612,0.0,115.13080429333235,853.9557722072977,297.66154188678695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.125619721680856,102.74098264411258,0.0,0.0,123.04551316814853,0.0,0.0,0.0,0.0,0.0,1938.0492939957724
3462473,23.096367454651993,0.0,86.10554552830719,0.0,78.49827565454478,307.52573939608044,105.27054530142466,0.0,75.37052689381908,0.0,0.0,0.0,0.0,0.0,0.0,121.59129848453027,154.57215337194606,0.0,0.0,0.0,0.0,0.0,31.90068859914962,0.0,0.0,0.0,0.0,0.0,983.931140684454
3149263,23.096367454651993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.09938989461816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.19575734927015
2770093,23.096367454651993,0.0,0.0,0.0,0.0,0.0,12.100062678324674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.640446986297633,0.0,0.0,0.0,0.0,137.2193863549042,154.94620176729813,0.0,0.0,0.0,0.0,0.0,351.00246524147667
1934946,22.24094643781303,0.0,46.36452451524234,0.0,52.33218376969653,83.87065619893103,157.30081481822077,0.0,102.28857221304018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.2969954380997,44.44900331657948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725.143696707623
2501952,22.24094643781303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.640446986297633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.88139342411066
157897,22.24094643781303,178.83712944946777,145.7170770479045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.93838154765197,101.5972539713641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.63723904097415,0.0,0.0,0.0,0.0,0.0,684.9680274951755
1676141,21.38552542097407,0.0,52.988028017419815,118.00193228164112,104.66436753939306,182.99052261584953,365.42189288540516,0.0,86.13774502150751,547.4802222769702,0.0,235.07937385917361,0.0,0.0,0.0,132.64505289221484,34.551422518435004,0.0,68.3830820255069,0.0,0.0,0.0,36.457929827599564,0.0,0.0,0.0,0.0,0.0,1986.1870971820902
3119833,21.38552542097407,78.68833695776583,112.5995595370171,206.50338149287197,313.99310261817914,127.07675181656217,76.23039487344545,0.0,69.98691782997486,0.0,0.0,0.0,0.0,0.0,0.0,132.64505289221484,81.83231649103027,0.0,0.0,44.031849704619674,0.0,343.04846588726053,218.74757896559737,499.2511233150275,427.370720357092,123.21180758206556,0.0,120.03915123086298,2996.642036972561
1962910,21.38552542097407,114.45576284765937,39.74102101306486,0.0,62.798620523635826,30.498420435974918,121.00062678324674,0.0,96.90496314919595,232.67909446771236,0.0,0.0,0.0,0.0,0.0,0.0,38.18841436248079,0.0,355.5920265326358,0.0,0.0,0.0,45.57241228449946,0.0,0.0,0.0,0.0,0.0,1158.8168878210802
183713,21.38552542097407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.38028386721342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.43819858704725,0.0,199.20400787523474
3342182,21.38552542097407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.37049132205629,0.0,0.0,29.622067984924644,0.0,0.0,0.0,0.0,0.0,102.378084727955
2842327,21.38552542097407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.22296578499925,0.0,0.0,156.55768783864772,161.56132868036707,0.0,262.0413706358719,0.0,0.0,0.0,128.94381442949148,101.57158950303791,1070.2842822933894
3046412,20.530104404135106,0.0,62.923283270686035,132.75217381684627,62.798620523635826,0.0,0.0,287.91892203155595,161.5082719153266,0.0,0.0,0.0,0.0,238.18030248898415,0.0,0.0,0.0,0.0,0.0,39.13942195966193,0.0,0.0,75.19448026942409,0.0,178.07113348212164,0.0,0.0,0.0,1259.0167141623776
2715733,20.530104404135106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.09593475236632,0.0,0.0,31.80078034222532,0.0,137.2193863549042,0.0,0.0,0.0,0.0,0.0,0.0,218.64620585363093
1968910,20.530104404135106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.48196528822515,0.0,0.0,29.622067984924644,0.0,0.0,0.0,0.0,0.0,255.6341376772849
1853225,19.67468338729614,0.0,89.41729727939594,81.12632844362827,94.19793078545375,60.996840871949836,110.11057037275454,0.0,0.0,218.99208891078808,0.0,0.0,130.62504082032524,0.0,0.0,0.0,49.09938989461816,0.0,41.02984921530413,66.04777455692951,0.0,0.0,52.40827412717437,0.0,0.0,0.0,0.0,0.0,1013.726068665618
2904715,19.67468338729614,0.0,0.0,0.0,0.0,0.0,37.51019430280649,0.0,0.0,0.0,0.0,138.28198462304331,0.0,0.0,0.0,110.5375440768457,20.003455142251845,334.27717476797227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.21180758206556,67.86516548920603,0.0,851.3620093714874
543347,19.67468338729614,0.0,0.0,0.0,0.0,94.036796344256,0.0,0.0,156.12466285148238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.46585319282421,0.0,0.0,63.60156068445064,0.0,0.0,136.71723685349835,0.0,0.0,499.33206230626564,223.95504611437994,369.35123455650154,1628.259136290955
475964,19.67468338729614,0.0,43.052772764153595,0.0,0.0,55.91377079928735,77.44040114127792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.914430674389212,0.0,58.125619721680856,447.65713866363336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.7788171517184
2682227,19.67468338729614,0.0,0.0,0.0,57.56540214666617,48.28916569029362,128.26066439024154,0.0,86.13774502150751,205.30508335386386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.61069511402879,83.17127166428162,0.0,0.0,84.30896272632398,0.0,0.0,0.0,0.0,0.0,750.3236734945032
548685,19.67468338729614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.67468338729614
